nombre,camara,legislatura,sigla_partido,tipo_registro,fuente_url,fuente_tipo,metodo,nivel_confianza
"Campanella, Walter Hugo",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2007-07-17&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Camy Antognazza, Carlos",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-05-10&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Cardoso, José Carlos",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-07-04&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Cardozo Ferreira, Julio",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/camarasycomisiones/legisladores/5364,manual,biografia,alto
"Castro, Nora",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-03-14&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Chiruchi, Juan Antonio",senado,46,PN,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Cid, Alberto",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Costa Franco, Leonardo",senado,46,PC,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2008-06-03&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Couriel, Alberto",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Da Rosa, Eber",senado,46,PN,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Dalmás, Susana",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
